alpha_value 	 Set_number 	 Precision 	 Recall 	 FScore 	 Error 	 sky_Error 	 cloud_Error 
0.040000 	 51 	 0.954027 	 0.989249 	 0.971319 	 4.880462 	 3.982357 	 0.898106 
0.040000 	 52 	 0.868124 	 0.996706 	 0.927982 	 11.935756 	 11.681591 	 0.254166 
0.050000 	 1 	 0.506605 	 0.967090 	 0.664904 	 43.968409 	 42.483987 	 1.484422 
0.050000 	 2 	 0.425144 	 0.995936 	 0.595907 	 38.851671 	 38.734765 	 0.116906 
0.050000 	 3 	 0.885318 	 0.803446 	 0.842397 	 26.787670 	 9.273732 	 17.513938 
0.050000 	 4 	 0.682558 	 0.999452 	 0.811153 	 24.956943 	 24.927539 	 0.029405 
0.050000 	 5 	 0.954981 	 1.000000 	 0.976972 	 4.376484 	 4.376484 	 0.000000 
0.050000 	 6 	 0.645302 	 0.987772 	 0.780627 	 29.304442 	 28.658985 	 0.645458 
0.050000 	 7 	 0.691010 	 0.971373 	 0.807550 	 30.322001 	 28.447161 	 1.874840 
0.050000 	 8 	 0.592616 	 0.962724 	 0.733635 	 39.145477 	 37.058179 	 2.087297 
0.050000 	 9 	 0.617195 	 0.949512 	 0.748109 	 38.441744 	 35.406344 	 3.035401 
0.050000 	 10 	 0.867148 	 0.984885 	 0.922274 	 13.238187 	 12.032813 	 1.205374 
0.050000 	 11 	 0.642003 	 0.929442 	 0.759434 	 35.268417 	 31.042337 	 4.226080 
0.050000 	 12 	 0.863169 	 0.997720 	 0.925580 	 12.880521 	 12.697501 	 0.183020 
0.050000 	 13 	 0.915272 	 0.997727 	 0.954722 	 7.657614 	 7.473682 	 0.183931 
0.050000 	 14 	 0.857702 	 0.998885 	 0.922925 	 13.420556 	 13.330861 	 0.089695 
0.050000 	 15 	 0.827236 	 0.999730 	 0.905340 	 15.195918 	 15.176327 	 0.019592 
0.050000 	 16 	 0.965152 	 0.999696 	 0.982120 	 3.130612 	 3.104490 	 0.026122 
0.050000 	 17 	 0.515641 	 0.999319 	 0.680268 	 41.683163 	 41.652966 	 0.030197 
0.050000 	 18 	 0.924456 	 0.999766 	 0.960638 	 5.166496 	 5.151751 	 0.014745 
0.050000 	 19 	 0.919432 	 0.981341 	 0.949378 	 8.623596 	 7.086017 	 1.537580 
0.050000 	 20 	 0.710924 	 0.987047 	 0.826534 	 20.830959 	 20.179703 	 0.651256 
0.050000 	 21 	 0.616707 	 0.991179 	 0.760336 	 28.711271 	 28.305979 	 0.405292 
0.050000 	 22 	 0.549127 	 0.998546 	 0.708584 	 38.842102 	 38.773319 	 0.068783 
0.050000 	 23 	 0.607515 	 0.996722 	 0.754906 	 25.803371 	 25.672687 	 0.130684 
0.050000 	 24 	 0.781048 	 0.993725 	 0.874644 	 15.283670 	 14.946970 	 0.336700 
0.050000 	 25 	 0.991125 	 0.978861 	 0.984955 	 2.835832 	 0.831207 	 2.004625 
0.050000 	 26 	 0.866890 	 0.992794 	 0.925580 	 11.437787 	 10.921525 	 0.516263 
0.050000 	 27 	 0.906359 	 0.992827 	 0.947625 	 8.392183 	 7.843669 	 0.548514 
0.050000 	 28 	 0.541362 	 0.991721 	 0.700393 	 33.727454 	 33.398369 	 0.329085 
0.050000 	 29 	 0.847334 	 0.997795 	 0.916430 	 11.869696 	 11.725867 	 0.143829 
0.050000 	 30 	 0.611469 	 0.996578 	 0.757908 	 34.249880 	 34.065786 	 0.184094 
0.050000 	 31 	 0.755841 	 0.997849 	 0.860146 	 21.435237 	 21.293117 	 0.142120 
